Q,A
 의 인공위성 헐값 매각 통한 비공식 커미션 수수 등 사익편취 진의 혜주 세,성장동력
 전자 임원 폭력,인권_성평등
 동물 의료 가제 부활 및 동물 의료 보험 제도 실시 대해 시오,반려동물
 안전 지대 호선 오류동역 스크린도어 설치 촉구,안전_환경
 강용주 보안관찰 처분 면제,인권_성평등
 터 무니 베이비 터 비용 정부 대책,육아_교육
 음주 범죄 가중 처벌 청원,안전_환경
 소비자 우롱 행위 일삼 인스타 대한 조사 조치 요구 모두 힘 소비자 일방 한번,기타
 기초 의원 및 국회의원 무보수 명예 직,경제민주화
 곳 화물차 음주운전 가해자 엄벌 처,교통_건축_국토
 국민 힘 아야,교통_건축_국토
 음주운전 트럭 운전 사건,행정
 서울시 형편 외국인 초청 진료 자 국민 차별 외국인 특혜 정책,행정
 세월호 항적 가짜 박근혜 정부 해군 관계자 수사,육아_교육
 음주 심신 미약 감형 법,인권_성평등
 아이 코스 등 전자담배 추가 세금 인상 시민,행정
 음주운전 처벌 강화 심신 미약,안전_환경
 음주운전 도로 위 살인마 처벌 강화 좀,교통_건축_국토
 음주운전 근절 위 처벌 요구,교통_건축_국토
 음주운전 강력 처벌,기타
 능력 어린이집 개월 자녀 엄마,육아_교육
 연경 지구 아파트 밀집 지역 송전탑 철거 중화 요청,교통_건축_국토
 페미니즘 남녀 갈등 대해 퀄 리즘 교육,인권_성평등
 전공 특별법,보건복지
 마리 고양이 독극물 사료 택배 흉악 범 처벌 동물보호법 강화,반려동물
 하남 문화유산 보존 시기,문화_예술_체육_언론
 한국 거래소 중국 기업 상장 반대,기타
 베를린 장벽 조각 태극기 등등 대형 그래피티 사람 조사,외교_통일_국방
 울산 광역시 전역 악취 조사,교통_건축_국토
 카카오 뮤직 및 세무조사,기타
 못 과정 정규직 전환 정책 반대,행정
 조폭 처벌 및 폭행 처벌 강화,안전_환경
 동물보호 유기견 보호 소의 후 원금 월급 지급 게 말 겁,반려동물
 혜화역 시위 시위 시민 구타 남경 처벌,행정
 식약처 및 담당 기관 대적 식당 위생 점검 불시 점검 시행 촉구,보건복지
 근무 중 경찰관 치료 비 자 부담,행정
 전북 전주시 미세먼지,안전_환경
 교통사고,기타
 나라 보관 관리 땅 수십 년 조직 강탈,행정
 통상 임 미지 금 지급 대한,기타
 정태옥 국회 의원직 박탈,정치개혁
 장애인 콜 택시 즉시 콜 예약 콜 투 트랙 운영 장애인 시간 이동 자유 시오,인권_성평등
 우체국 위탁 택배 배달 원 불법 계약 강요 우정 사업 본부 만행,행정
 농민 돈 편 취한 정법 단지 상가 조합 비리 폭로,교통_건축_국토
 특성 고등학교 현장 실습 개선,육아_교육
 우리 보금자리 부실 공사 개선,교통_건축_국토
 청계천 베를린장벽 한밤중 낙서 예술가 처벌 요구,문화_예술_체육_언론
 공직 사회 보신 주의 타파 세금 정책 계획 암호 화폐 및 공매도,성장동력
 청계천 베를린장벽 낙서 엄벌 청원,문화_예술_체육_언론
 변질 대한민국 페미니즘 운동 위험성 고발,인권_성평등
 전과자 선출 직 피선거권 박탈 요구,정치개혁
 여성 가산 점 폐지 여성 군 입대 국방 세 시기 청원,인권_성평등
 저희 신랑 목숨 간 구의 병원 고발,기타
 유기견 및 동물 보호 법 개선,반려동물
 성 평등 우월 페미 처벌,인권_성평등
 겉 양성평등 주장 속 우월 주의 주장 페미니즘 규탄,인권_성평등
 더 이상 남여 분쟁 관망 여성 우월 주의 요구 조치,인권_성평등
 강아지 공장 폐쇄 청원,반려동물
 혜화역 시위 중단,인권_성평등
 방사 능 매트리스 우체국 차량 수거,안전_환경
 우체국 선거 우편물 과로 집배원 방사 능 라돈 침대 수거 문제,일자리
 국가대표 군 수단,외교_통일_국방
 오지환 국 자격 박탈,문화_예술_체육_언론
 아시안 게임 금메달 리스트 병역 혜택 폐지 청원,문화_예술_체육_언론
 군 면제 위 아시안 게임 대표팀 선발 배후 조사 금메달 군 면제,문화_예술_체육_언론
 오지환 선수 발탁 포함 납득 아시안 게임 대표팀 엔트리 재 검토 요청,문화_예술_체육_언론
 대한민국 부모님 이글,기타
 대통령 광주 사건 이번 대전 조직폭력배 꼭 쇼,기타
 저희 남편,안전_환경
 대전 고등학교 두발 규정 대하,인권_성평등
 정부 암호 화폐 투자 국민 진심 걱정 것 대한 청원,미래
 민주주의 정신 헌법 법 개정 강화,정치개혁
 아시안 게임 야구선수 선발 청원,문화_예술_체육_언론
 트윈스 오지환 선수 국가대표 발탁 반대,문화_예술_체육_언론
 여성 기초 군사훈련 의무 실시,외교_통일_국방
 선거 우편 과로 집배원 라돈 침대 수거,기타
 텍스 라돈 검 제대로 조사,안전_환경
 익명성 의존 악의 사람 공격 악플러 대한 처벌 수단 마련 청원,인권_성평등
 송금 피해 은행 국세청 폐업 이나 급정지 업체 입출금 방안 마련,기타
 한국 매크로 특검 촉구,정치개혁
 여가부 폐지,인권_성평등
 페미니스트 시위 제재 청원,인권_성평등
 혜화역 시위 관련 것 청원,인권_성평등
 엔진 결함 조사 과정 결과 공개,행정
 아시안 게임 야구 병역 혜택,문화_예술_체육_언론
 보육 교직원 휴게 시간 관련,보건복지
 혜화역 집회 객관 보도 요청,인권_성평등
 참전 여성군 존재 활약,인권_성평등
 보육 교사 휴게 시간 보장,육아_교육
 아시안 게임 야구 대표팀 병역비리 게이트 및 병역비리 브로커 조사,문화_예술_체육_언론
 야구 아시안 게임 군 면제 수단 이용 오지환 박해민 선수 하차 요구,기타
 북한 녹화사업 를 밀 수로 심기 청원,성장동력
 집배원 왜 대진 침대 매트리스 수거 대체 왜,인권_성평등
 독일 강아지 분양,반려동물
 노원 주택 재개발 실태,교통_건축_국토
 아동학대 법강,육아_교육
 통학로 등교 쓰레기 거장 등교 전 쓰레기 수거,안전_환경
 대한항공 인턴제 갑질 고발,일자리
 대전 충남 지방 병무청 행정처분 청원,행정
 정치인 도덕성 검증 더욱 문재인 대통령 민주당,정치개혁
 야구 국 병역 명탈 사용 반대,기타
 오지환 국가대표 선발 과정 수사의뢰,문화_예술_체육_언론
 욱일기 사용 법적 금지,미래
 선동열 야구 국가대표 감독 적폐 조사 및 야구 아시안 게임 금메달 군 면제 폐지 청원,정치개혁
 트윈스 오지환 선수 병역기피 조사,외교_통일_국방
 촌 궁 족발 비극 뒤 상가 건물 임대차보호법,경제민주화
 불법 촬영 물 유포자 신병 확보 텀블러 비롯 해외 사이트 문제 해결 위 국제 공조 강화 를 실행,인권_성평등
 방사 능 침대 왜 우체국 직원 수거 합,안전_환경
 스쿨존 구간 안전 시설 설치 및 공용 버스 블랙박스 설치 의무 청원,안전_환경
 유일 포르노 금지 국가 포르노 볼 궐리 시오,인권_성평등
 제주도 불법 난민 신청 문제 난민 법 무사 증 입국 난민 신청 허가 폐지 개헌 청원,외교_통일_국방
 최 실 스위스 계좌 번호 금 국고 환수 요청,정치개혁
 교육 과정 속 여성 남성 단위 삭제,인권_성평등
 홍준표 대표 사퇴,반려동물
 홍준표 자유 한국 대표 사퇴 만류,반려동물
 전두환 군부독재 피해자 손기정 기념 탑 를 박영록 총재 대한 정부 사과 보상 요구,기타
 용산 붕괴 사고 조치 청원,안전_환경
 지방선거 교육감 청소년 투표 수,보건복지
 교육감 선거 투표 제한 요청,육아_교육
 애완동물 때 종량제 쓰레기봉투 법,반려동물
 중증 장애인 말살 휴게 시간 거부 활동 원사 특례 업종 포함 청원,보건복지
 청와대 사칭 세력 처벌,기타
 어린이집 유치원 교사 만큼 수당 시오,육아_교육
 노동시간 단축 간호사 제외,일자리
 자유 한국 홍준표 대표 사퇴,정치개혁
 현대 중공업 해양 사업 부 협력 업체 가족,일자리
 꼭 한번 목숨 재,안전_환경
 홍준표 자유 한국 대표 직 사퇴 반대,정치개혁
 초 중 고 학교 페미니즘 의무 교육 반대 메 워마드 사이트 폐쇄 요청,인권_성평등
 나 리츠 업체 대한 수사 요청,경제민주화
 홍준표 대표 사퇴 절대 반대 꼭 결사 반대,정치개혁
 공직선거법 위반 문경시 공무원 엄벌 특별 감사 실시,정치개혁
 과학기술 정보통신부 청년 사업 재편 및 재고 청원,성장동력
 중학교 고등학교 동복 생활 디자인,기타
 아동 성범죄 관련 처벌 강화 및 시효,인권_성평등
 영양사 급여 처우 복지,일자리
 자유 한국 홍준표 대표 사퇴 철회,정치개혁
 대한민국 정치 발전 공 세운 홍준표 대표 사퇴 정부 적극 만류,정치개혁
 홍준표 사퇴 대청,정치개혁
 홍준표 대표 사퇴,정치개혁
 대구 동성로 서울 시청 광장 퀴어 행사 동성애 축제 개최 반대,문화_예술_체육_언론
 대구 교육감 재 투표,미래
 대구 교육감 강은희 당선 취소,정치개혁
 순천 반려동물 돈벌이 수단 유기동물 안락사,반려동물
 폭력 학교 폭력 방지법,육아_교육
 제조업 속 뿌리 마음 청원,기타
 남북 철도 시대 열차 운행 횟수 과 선로 용량 부족 지역 지하 요청,교통_건축_국토
 대통령 전용기 도입 다시 추진 시오,외교_통일_국방
 어은돌 어촌 불법 조물 신고,농산어촌
 국가 지정 생리대 제작,보건복지
 강은희 교육감 사퇴,행정
 공직선거법 제 항 개정,정치개혁
 서민 내 집 마련 꿈 식 행정,행정
 대전 고등학교 두발 규정 대하,인권_성평등
 악덕 대명 건설 부도덕 성과 담당 공무원 근무 태도,교통_건축_국토
 대한민국 군인 인권 자유 위해 위수 지역 폐지 촉구,인권_성평등
 불법체류 외국인 정부 방침 대응,안전_환경
 구미시 박정희 대통령 생가 동상 그 생가 주변 공원 무조건 아무 이유 당장 폐쇄 실시 무조건 충남 아산 현충사 간판 교체 실시 무조건 서울 상암동 박정희 대통령 기념관 무조건 폐쇄 박정희 친미 친일파 적폐 청산,문화_예술_체육_언론
 담배 청소년 처벌 법,보건복지
 이번 지방선거 대구 교육감 당선 강은희 후보 사퇴 청원,정치개혁
 귀화 외국인 지방선거 선거 참여 당장 철회,행정
 홍준표 자유 한국 대표 대표 직 사퇴 결사 반대,정치개혁
 지금 중고차 오토 리스 사기 피해자 명 이상 발생 계속 사기 지고,기타
 전과 정치인 기본 옵션,기타
 뉴 쏘렌토 에어컨 에바 가루 관 정밀 정부 조사,안전_환경
 홍준표 대표 일이 사퇴,정치개혁
 대통령 홍준표 사퇴,정치개혁
 홍준표 대표 사퇴 반대,정치개혁
 홍준표 대표 사퇴 반대 청원,정치개혁
 홍준표 자유 한국 대표 사퇴 반대,반려동물
 선거법 위반 당선인 법적 처벌 위법 상황 접 미온 대처 선관위 직원 처벌,행정
 홍준표 한국 대표 한번 더 기회 주자,정치개혁
 근로기준법 노동법 등 노동 관련 법 초 중고 정규 과목 및 입시 필수 과목 통해 진짜 삶 교육 하자,육아_교육
 김승수 전주시 비리 의혹 조사,정치개혁
 독도 폭격 사건 대해 일본 사과 요구,외교_통일_국방
 포항 약사 칼부림 사건 가해 남성 제대로 처벌,인권_성평등
 윤환 문경시 및 관련 공무원 선거법 위반 내용 대한 검찰 수사 촉구 문경시 대한 감사원 특별 감사 촉구,정치개혁
 김상조 공정위 탈 법적 행위 대한 해명 시정 요구,정치개혁
 국민 개헌 추진 청원,정치개혁
 지역감정 살인 미수 사건 제발 좀,교통_건축_국토
 공직선거법 개정안 폐지,정치개혁
 김사랑 정신병원 감금 진상,인권_성평등
 김상조 공정 거래 위원장 갑질 중시 시오,경제민주화
 정거 위원장 직권남용,정치개혁
 김상조 정거 위원장 완장 질 칼춤 즉각 주시 사퇴,경제민주화
 김상조 위원장 사퇴,기타
 법치국가 근간 김상조 정거 위원장 해임,행정
 김상조 위원장 삼성 그룹 처벌,경제민주화
 기초 의원 비례대표 여성 표 공직선거법 제 항의 폐지 요구,인권_성평등
 명의 난민 제주도 비자 여행,외교_통일_국방
 여성 아동 난민 주거지 식생활 지원,인권_성평등
 비례대표 손 때,정치개혁
 사립 초 고도 교육청 신고,행정
 퀴어 축제 결사 반대,미래
 청소년 교육감,정치개혁
 채용 공고 사기 규제,일자리
 대진 침대 우체국 회수 누락 가정 대한 추가 대책,안전_환경
 대구 교육감 강은희 후보자 사퇴,육아_교육
 고위 공직자 범죄수사 처 설치 청원,정치개혁
 바닷가 항구 설치 로 개방,농산어촌
 먹튀 치과 대한 처벌 및 단속 촉구,보건복지
 대한민국 여성 체력 훈련 지원 줄 것 가스총 테이저건 등 지급 줄 것 청원,인권_성평등
 선진국 임대 정책 임대 분양 전환 산정 개선,교통_건축_국토
 김상조 나라 금감원 해체,일자리
 시각장애인 안전,안전_환경
 김상조 공정 거래 위원장 총수 일가 계 열사 주식 보유 관련 문의,경제민주화
 제주도 맨 난민,안전_환경
 비례대표 여성 홀수 할당 제 폐지 청원,정치개혁
 인천 한진 항,기타
 제주도 난민 수용 반대,안전_환경
 시기상조 제주도 난민 유입 및 조선족,인권_성평등
 국산 야동 것 대부분 몰카 유출 방통위 경찰 등 판매업 사이트 방관 이유 뭔가,안전_환경
 제주도 외 지역 난민 수용 수,외교_통일_국방
 조폭 뿌리,안전_환경
 제주도 난민 수용 금지,행정
 주식회사 케이 알 유니온 킹펀딩 업체 피해 피해자,기타
 국립 제주대학교 교수 및 성희롱,육아_교육
 제주도 무사 증 제도 폐지 여행객 난민 신청,안전_환경
 제주도 난민 인정 신청 및 인도 체류 취업 제한,일자리
 구상 녀 기사 간통죄 부활 고려,인권_성평등
 다자녀해택 초등 우유 무상급식 및 방과후 개 해택 지원,육아_교육
 제주도 무비 제도 철회,외교_통일_국방
 오피스텔 헌터,정치개혁
 외국인 지문 날인 부활,행정
 청원 관리자 답변,기타
 난민 수용 반대 청원 삭제,외교_통일_국방
 난민 청원 왜 삭제 겁,기타
 동물보호법 개정 강아지 공장 철폐 유기견 보호 동물보호법 강화,반려동물
 제주도 난민 관 청원 글 삭제 대한 해명,기타
 가정 위해 신혼 국가 주택 무상 임대 자녀교육 수당 전업 주부 시오,육아_교육
 정의 나라 통합 나라 상식 통 나라,행정
 전국 조직 폭력배 전수 조사 및 조폭 집단 폭력 처벌 강화 청윈,안전_환경
 난민 한국 전쟁 후 대한민국 세운 국적 다른 광부 간호사 라면,외교_통일_국방
 기능사 미용 국가고시 채점 기준 점수 공개 청원,기타
 허위 사실 거짓,정치개혁
 제주도 난민 청원 왜 삭제,안전_환경
 국민 청원 제주 난민 글 삭제 누구 위 사이트 누구 위 삭제,안전_환경
 격의 료 위해 각종 규제 철폐 시오,보건복지
 제주도 난민 수용 거부,외교_통일_국방
 김상조 위원장 해임,경제민주화
 김상조 정거 위원장 발언 주가 폭락 대한 책임,경제민주화
 폭력 성폭력 관 법 강화,육아_교육
 차량 사고 내면 형량,안전_환경
 난민 수용 대합 니 선거 이제 소통 불통 겁,외교_통일_국방
 제주도 난민 반대 다시 복구 청원 게시 물 이유 설명,안전_환경
 한부모 지원 관해 청원,보건복지
 지방선거 불공정 평가,기타
 제주도 난민 수용 반대 제주도 무비 폐지,외교_통일_국방
 제주도 한국 난민 수용 반대,안전_환경
 건설 일조권 침해 하루 햇빛 읍,교통_건축_국토
 개고기 식용 금지,반려동물
 예멘 난민 수용 반대,안전_환경
 여성인권 바닥 예멘 난민 반대,기타
 정부 성인식,인권_성평등
 자의 청원 삭제 청원 관리자 공개 설명 처벌,정치개혁
 경찰 독자 수사 종결 재고 시기,인권_성평등
 제주도 난민 왜 법무부 제주 예멘 난민 주거 인정 하나요,기타
 우리나라 미래 위해 제주 난민 수용 당장 중단,안전_환경
 제주도 난민 반대 난민 반대 글 왜 삭제 왜 국민 뜻 무시 합,안전_환경
 음주운전 강력 처벌 피해자 사망 시 살인죄 적용 피해자 상해시,교통_건축_국토
 김상조 정거 위원장 갑질 서민 재산 손해 보상 대책 마련,경제민주화
 오늘 관공서 예멘 명 싹,외교_통일_국방
 제주도 난민 수용 반대 청원 삭제 누구 위 청원 삭제 입,안전_환경
 제주도 난민 수용 반대,외교_통일_국방
 자동차 무료 검사 서비스 및 검사 주기 연장,행정
 강은희 교육감 파면 청소년 교육감 선거권 요청,육아_교육
 휴게 제도 누굴위 제도,보건복지
 울산 울주군 온양읍 외광리 청정 지역 레미콘 공장 건립 반대,안전_환경
 제주도 난민 신청 반대,안전_환경
 이슬람 난민 절대로,외교_통일_국방
 난민 수용 반대 청원 글 이유 해명,기타
 제주 입국 여명 예멘 의 취업 반대 모두,안전_환경
 제주 예멘 난민 사태 유발 무사 증 폐지 난민 법 개정 불체 추방 요청,기타
 제주도 난민 수용 반대,외교_통일_국방
 제주도 난민 수용 극구 반대,안전_환경
 제주 무사 증 제도 폐지 난민 수용 철폐,안전_환경
 제주도 난민 청원 왜 삭제 신건,인권_성평등
 장애인 활동 보조사 제한 폐지 및 휴식시간 백지,보건복지
 제주도 무슬림 난민 처리,안전_환경
 초등생 제자 성폭행 학원 강사 꼭 전자발찌,인권_성평등
 현대 기아 자동차 에바 가루 관련 리콜 조사,안전_환경
 초 헌법 행위 김상조 정거 위원장 해임,행정
 난민 수용 달라 청원 글,기타
 제주도 난민 수용 폐지 무비 자도 비자,외교_통일_국방
 난민 수용 반대 제주도 비자 문제 해결,외교_통일_국방
 대통령 포항 약국 칼부림 사건 벌,기타
 청와대 난민 반대 관 청원 삭제 대한 조사,기타
 김상조 정거 위원장 칼춤 월권 방지 위해 해임 건의,경제민주화
 청와대 청원 삭제 이유 말씀,기타
 제주도 난민 수용 거부 및 불법체류자 및 다문화 혜택 축소 및 폐지,미래
 동물보호법 강화 공약,반려동물
 대통령 오늘 방송 동물농장 꼭,반려동물
 예멘 난민 신청 특별 취업 허가 취소,기타
 한국 시리아 난민 명,외교_통일_국방
 간통죄 부활,인권_성평등
 개 고양이 식용 종식 연개 가축 제외,반려동물
 동물학대 더 이상은 안,반려동물
 개 고양이 식용 종식,반려동물
 동물학대 대한 처벌 강화 동물 관리 대한 법 개정,반려동물
 디지털 성범죄 가해자 대한 처벌 수위,안전_환경
 제주도 난민 문제 구 무비 입국 문제,기타
 제주도 무비 입국 철외 및 예멘 난민 수용 거부,미래
 제주도 예멘 난민 명 것 반대,안전_환경
 제주도 불법 난민 반대 지금 청원,안전_환경
 중증 아토피 기타 피부병 환자 위 복지 지원 정책 촉구,보건복지
 김상조 한마디 업체 국내 사업 해외 실업자 문재인 대통령,일자리
 인천 개인 회생 기간 단축,행정
 제주도 난민 반대 청원 삭제 확인,기타
 권력 김상조 위원장 사퇴 촉구,경제민주화
 저승사자 김상조 척 제대로 알 행동,경제민주화
 미세먼지 나라 살,안전_환경
 동물보호법 강화,반려동물
 대학 학회 비 횡령 학생 퇴학 조치,육아_교육
 청소년 알바생,일자리
 장애인 장애인 활동 보조 위해 근로기준법 특례 분류,보건복지
 당진 동부 제철 항만 야적 대진 침대 불법 해체 작업,안전_환경
 현실 보육료 지원 요청,보건복지
 국민임대 아파트 관리 주택 관리 공단 전부 직접 관리,교통_건축_국토
 예멘 난민 입국 취업 반대,안전_환경
 우리나라 남성,인권_성평등
 제주 난민 목소리,일자리
 국민 세금 외국인 치료 왜 내야,보건복지
 거의 모든 게시 물이 혐오 발언 워마드 폐지 청원,인권_성평등
 음주 사고 가중 처벌 청원,행정
 제주도 무사 증 대해 재고,기타
 제주도 맨 난민 반대,외교_통일_국방
 고양이 학대 처벌 중형 처벌,반려동물
 남편 선교사 안티폴로 감옥 필리핀,외교_통일_국방
 현재 근무 승무원,일자리
 제발 제주도 난민 및 불법체류자,미래
 제주도 예멘 난민 거부 수용 청원,안전_환경
 제주도 무비 방 문제 폐지 불체 강력 단속 추방 예멘 난민 수용 절대 반대,행정
 제발 제주도 무사 증 폐지 민법 폐지 개정 불체 자국,미래
 제주도 맨 난민 명 추방,외교_통일_국방
 제주도 난민 수용 문제 대책 촉구 늦 대응 자 국민 위험,외교_통일_국방
 제주도 예멘 난민 이슬람 수용 반대,안전_환경
 예멘 난민 명 당장 추방,외교_통일_국방
 제주도 난민 글 삭제 해명 부탁,인권_성평등
 음주 상태 범죄 이제 가중 처벌,인권_성평등
 형법 사실 명예훼손죄 폐지,인권_성평등
 나현 사건 재 조사,육아_교육
 근로시간 주 단축 개 정법 해외 플랜트 건설업 대책 마련 요청 등,교통_건축_국토
 제주 난민 답변 대기 앞,안전_환경
 통신 장비 중국산 국산 중소기업,성장동력
 아동 수당 보편 복지로 차별 지급 요청,육아_교육
 개 식용 고양이 식용 나라,반려동물
 청원 카테고리 이재명 카테고리,안전_환경
 경찰 특혜 시비 경찰 행정학 특채 영어 한국사 반대,기타
 제주도 예멘 난민 신청 허가 반대 및 대한민국 외국인 불법체류자 추방,안전_환경
 김상조 정거 위원 삼성 를 괘롭히 이유 주식 땜 사람,성장동력
 난민 반대 청원 글 삭제 관리자 사임,정치개혁
 대한민국 법규 줄,교통_건축_국토
 입국 여명 예멘 거취 문제 무사 증 폐지 난민 수용 찬성 및 반대 내용 투표 결정,외교_통일_국방
 동물 학대 및 가해 대한 법 강화,반려동물
 노동 악법 감시 단속 법 폐지 개선 건의,일자리
 동물보호법 강화,반려동물
 시장 불확실 김상조 공정 위원장,경제민주화
 개인 회생 단축 신청 전국,경제민주화
 법 초 중고 스마트폰 가입 청원,안전_환경
 스웨덴 전 심판 및 판정 내용 재심사 요청,문화_예술_체육_언론
 신태용 감독 경질 축구 협회 특별 감사 청원,문화_예술_체육_언론
 스웨덴 대한민국 재경기 요청,기타
 대한민국 스웨 던전 심판 조사 좀,문화_예술_체육_언론
 스웨덴 전 심판,문화_예술_체육_언론
 경의 중앙 선 퇴근 시간대 증편,교통_건축_국토
 여자 교복,기타
 제주 맨 난민 수용 반대,기타
 경행 특채 과목 변경 반대,일자리
 편파 판정 대한민국 국민 분노케 심판 해임 청원,문화_예술_체육_언론
 난민 법 폐지 제주도 무비 폐지 불법체류자 추방,안전_환경
 먹튀 이벤트 병원 대한 진상 규명 처벌 및 단속 촉구,보건복지
 제주도 예멘 난민 추방,외교_통일_국방
 숲 버려진 강아지 동물학대 처벌,반려동물
 예멘 난민 어장 돈 취업 포기 이 사람 난민,외교_통일_국방
 기업 국민 방법 허위 언론 보도,인권_성평등
 남북통일,정치개혁
 스웨덴 전 재경기 청원,미래
 측 이번 스웨덴 전 편파 판정 대해 항의,문화_예술_체육_언론
 제주도 예멘 난민,외교_통일_국방
 온라인 교육 전문의 자격 제도,보건복지
 백신 무료 접종 대상 연령 성별 확대,보건복지
 비정규직 정규직 전환 정말 정책 정책,미래
 비판 차단 다문화 정책 공론 이건 민주 국가,저출산_고령화대책
 이슬람 난민 수용 반대 및 난민 법 강화,안전_환경
 뇌출혈 환자 대학병원 응급실 방치,보건복지
 제주도 무사 증 민법 난민 신청 시 취업 허가 폐지 난민 불체 자국,미래
 법무부 제주도 예멘 난민 취업 허가 앞 난민 겁,미래
 외국인 대한민국 법,미래
 난민 국민 혈 절대로,기타
 난민 법 개정 폐지,기타
 엘살바도르 출신 주심 이자 러시아 월드컵 한국 스웨덴 전 주심 호엘 길 라르 심판 판정 측 공식 항의,문화_예술_체육_언론
 성차별 헌법 의무 징병제 도입 촉구,인권_성평등
 동물농장 개 고양이 학대 범죄자 처벌 강화,반려동물
 스웨덴 전쟁 청원,외교_통일_국방
 판사 법 위 군림 세상 변호사,인권_성평등
 한국 스웨덴 심판 로 국가 차원 항의,문화_예술_체육_언론
 스웨덴 가구 회사 이케아 의 세무조사 요청,행정
 제주도 난민 청원 돌파 답변 질질 일주일 안 답변,외교_통일_국방
 혜화역 시위 투입 의경 심리상담,인권_성평등
 낙동강 최상 류 봉화 오염 덩이 공장 영풍 제련소 폐쇄,안전_환경
 김상조 짤 이유 나라 꼴 말 사회주의 먹물 경제학자 관점,미래
 주말 고속도로 통행료 할증 폐지,교통_건축_국토
 진설 아파트 재건축 안전 진단 강화 폐지,교통_건축_국토
 경기도 일자리 재단 진행 청년 연금 이재명 도지사 언급 취소,일자리
 야마하 골프 카트 화학 치명 배터리 결함 대한 국가 차원 조사 촉구,안전_환경
 경찰 행정학 특채 대한 개정안 반대,기타
 공무원 먼저 직무 급제 시행,정치개혁
 공공기관 호 봉제,정치개혁
 공무원 호 봉제,정치개혁
 사실 기초 의원 비례대표 남성 금지법 공직선거법 제 항 폐지 개정 요구,인권_성평등
 사람 살해 처벌,기타
 김상조 정거 위원장 구속,정치개혁
 난민 제주도 무비 외국인 의료 보험 다시 재 검토,안전_환경
 해외 구매 라돈 방출 라텍스 상품 대한 정부 차원 조치 조속 촉구,보건복지
 예멘 난민 수용 결정 제주도 도지사 탄핵 제주도 특별자치도 지위 해체,미래
 축구 협회 해체 폐 비리 조사 정몽규 회장 사퇴 등 청원,문화_예술_체육_언론
 축구 협회 대한 청문회 청원,문화_예술_체육_언론
 축구선수 장현수 국가대표 영구 제명 및 축구 협회 비리 전수 조사 청원,문화_예술_체육_언론
 해외 구매 방사 능 라텍스 제품 안전 안위 나,보건복지
 환경부 퇴폐 국내 사이테스 법 조항 폐지,반려동물
 모피 생산 반대,반려동물
 신규 아파트 바닥 누수 하자 보수 관련,교통_건축_국토
 대학 수학 능력 시험 모의 평가 출제 오류 대한 한국 교육과정평가원 답변 요구,육아_교육
 임금 체불,기타
 간암 환 희망,보건복지
 국학,미래
 난민 브로커 그 유착 세력 대한 조사 촉구,안전_환경
 무분별 유기견 포획 개 제주도,반려동물
 철밥통 임금 구조 공공기관 가지 임금 구조 생각 듭니,정치개혁
 의성 군수 당선자 김주수 김재원 의원 청탁 혐의 처벌,정치개혁
 암표 처벌 법 발의 거래처 티켓 구매 실명 제 등 실질 처벌 기준 마련,문화_예술_체육_언론
 대림 상의 부실 공사 조사 해,교통_건축_국토
 조선족 외국인 노동자 난민 제한 자 국민 좀 보호,미래
 부천 과 부평 관통 초 고압 송전 선 가설 주민 기 한국전력 태도 바로 송전 선로 가설 방법 변경,교통_건축_국토
 사형 폐지 제도 반대,안전_환경
 결핵 외국인 공짜 치료 외국인 의료 보험 먹튀 적자 자 국민 혈세 줄줄,보건복지
 음주 운전 적발 면허 취소,안전_환경
 변화 거부 축협 해체 청원,문화_예술_체육_언론
 예멘 난민 신청 반대,기타
 장애인 고용 비율 업체 단속,일자리
 자영 업자 범법 모 공병 거제도,안전_환경
 화살 교감 의 징계 감 경은 피해자 차 피해 가해자 원적 교 복귀 반드시 철회 시오,육아_교육
 대진 라돈 침대 사용자 보건소 건강검진,보건복지
 임대 아파트 임대 사업자 부당 전환 임대주택 법 규정 관심,교통_건축_국토
 이번 삼성 주식 폭락 사태 열사 일감 주기 김상조 공정 위원장 업종 특성 이해 무지 편견 출발 대통령 스텝 접근 수 가이드,경제민주화
 어린이집 어린이집 답 휴게 시간 청원,육아_교육
 보육 교사 휴게 시간 재 조정 필요,보건복지
 제주 예멘 난민 청자 대한 인도 조치 적극,인권_성평등
 제주도 예멘 난민,안전_환경
 예멘 난민 뿐 시리아 등 더 이상 중동 지역 무슬림 난민 수용 반대 추방 국민 먼저 생각,기타
 지역 불평등 역시 인권 침해,인권_성평등
 페이스북 김 태양 처벌 청원,외교_통일_국방
 삼성 바이오 분식회계 논란 과실 처리 증 선위 위원 조사해,경제민주화
 일본 줄기세포 치료 한국 청원,성장동력
 예멘 난민 청자 관련 수사 청원,안전_환경
 맨 난민 불허가 청원 제발 관심 좀,경제민주화
 현직 변호사 판사 탄핵,인권_성평등
 시설 관리 직렬 대한 직종 개편 후속 대책 촉구,육아_교육
 간호 협회 협회 비 사용 공개 하라,행정
 공공기관 직무 급제 시행 반대,행정
 광주 지하철 호선 건설 촉구,교통_건축_국토
 배우 조재현 국민 격리,안전_환경
 동탄 내 가두리 양식 부동산 업자 담합 행위 근절,교통_건축_국토
 재수 제발,기타
 대구 교육감 강은희 파면,육아_교육
 국회 유기 표창원 의원 동물보호법 개정안,반려동물
 공공기관 직무 급제 공무원 적용,행정
 김재원 의원 음주운전 수사 외압 수사,기타
 조두순 강력반,미래
